city,latitude,longitude,cluster
Xiaoxita,30.692,111.287,844
Amman,31.9497,35.9328,34
Chuzhou,32.256,118.333,132
Linfen,36.088,111.519,816
Qingyuan,23.682,113.056,696
Xianyang,34.3299,108.7088,324
Loudi,27.6998,111.9944,190
Binzhou,37.383,117.971,386
Zhuzhou,27.829,113.133,190
Taiyuan,37.8704,112.5497,816
Nanning,22.8167,108.3275,605
Harbin,45.7576,126.6409,960
Abuja,9.0667,7.4833,446
Yokohama,35.4442,139.6381,4
Suihua,46.654,126.969,960
Zaozhuang,34.8109,117.3238,975
Detroit,42.3834,-83.1024,392
Xiamen,24.4796,118.0889,436
Neijiang,29.5802,105.058,234
Montreal,45.5089,-73.5617,59
Fuzhou,26.0743,119.2964,902
Baicheng,23.903,106.619,710
Wuhu,31.3526,118.4331,253
Yulinshi,38.2858,109.7341,29
Medan,3.5894,98.6739,627
Wenzhou,27.9938,120.6993,792
Changzhou,31.811,119.974,602
Puyang,35.7627,115.0292,597
Jiaozuo,35.2157,113.2419,597
Nanchang,28.683,115.858,782
Seattle,47.6211,-122.3244,513
Ibadan,7.3964,3.9167,852
Casablanca,33.5333,-7.5833,857
Kumasi,6.7,-1.625,452
Deyang,31.127,104.398,234
Busan,35.18,129.075,978
Hohhot,40.842,111.749,283
Hechi,24.693,108.085,58
Algiers,36.7539,3.0589,575
Tangshan,39.6294,118.1739,46
Shiyan,32.629,110.7987,324
Lucknow,26.85,80.95,492
Mashhad,36.3264,59.5433,140
San Francisco,37.7558,-122.4449,134
Boankra,6.6944,-1.4028,452
Dubai,25.2631,55.2972,642
Anshan,41.108,122.994,353
Baojishi,34.363,107.238,743
Qinzhou,21.981,108.654,605
Guiyang,26.647,106.63,58
Bengbu,32.917,117.389,132
Bazhou,31.868,106.748,275
Suining,30.533,105.593,234
Wuxi,31.491,120.312,602
Kotla Qasim Khan,32.5833,73.75,988
Hanzhong,33.0664,107.0232,275
Putian,25.4526,119.0078,902
Zhenjiang,32.188,119.424,602
Guang'an,30.4564,106.6326,234
Faisalabad,31.4167,73.0911,988
Changzhi,36.195,113.117,816
Tongren,27.7316,109.1895,955
Leshan,29.552,103.766,234
Santa Cruz de la Sierra,-17.7892,-63.1975,122
Qinhuangdao,39.8882,119.5202,771
Jaipur,26.9,75.8,479
Xinzhou,38.416,112.734,283
Lanzhou,36.0606,103.8268,809
Wuzhou,23.4767,111.279,605
Athens,37.9842,23.7281,53
San Diego,32.8313,-117.1222,30
Addis Ababa,9.03,38.74,349
Taichung,24.1439,120.6794,902
Huainan,32.6314,117.0194,132
Guatemala City,14.6133,-90.5353,762
Kuwait City,29.3697,47.9783,362
Budapest,47.4925,19.0514,885
Qincheng,34.5809,105.7311,275
Rizhao,35.417,119.527,386
Quezon City,14.65,121.0475,170
Sanaa,15.3483,44.2064,476
Tashkent,41.3111,69.2797,268
Kyiv,50.45,30.5233,365
Meishan,30.0771,103.8484,234
Incheon,37.4833,126.6333,66
Birmingham,52.48,-1.9025,402
Ningde,26.6662,119.5477,792
Zhongshan,22.517,113.3925,149
Weihai,37.5133,122.1205,386
Bursa,40.1833,29.05,722
Minneapolis,44.9635,-93.2678,423
Mbuji-Mayi,-6.15,23.6,464
Haikou,20.0186,110.3488,112
Tongliao,43.654,122.243,353
Chaoyang,41.571,120.453,771
La Paz,-16.4958,-68.1333,643
Pyongyang,39.0167,125.7475,867
Tampa,27.9945,-82.4447,345
Shaoguan,24.811,113.597,696
Heyuan,23.7443,114.7002,436
Brasilia,-15.7939,-47.8828,124
Omdurman,15.65,32.4833,940
Malang,-7.98,112.62,91
Stuttgart,48.7775,9.18,208
Daqing,46.589,125.104,960
Rome,41.8933,12.4828,270
Brooklyn,40.6501,-73.9496,328
Kaohsiung,22.615,120.2975,536
Xiangtan,27.8313,112.9454,190
Longyan,25.076,117.017,436
Baotou,40.6213,109.9532,29
Handan,36.601,114.487,415
Jinzhou,41.129,121.148,771
Kanpur,26.4499,80.3319,492
Denver,39.762,-104.8758,166
Nanping,26.6418,118.1774,782
Gazipura,23.9889,90.375,577
Shanwei,22.7872,115.3756,436
Chaozhou,23.658,116.622,436
Guayaquil,-2.19,-79.8875,610
Weifang,36.708,119.162,386
Huai'an,33.551,119.113,975
Zibo,36.8138,118.055,975
Ankang,32.6854,109.029,324
Mogadishu,2.0392,45.3419,964
Munich,48.1375,11.575,285
Gulou,26.0865,119.298,902
Taipei,25.0375,121.5625,7
Bekasi,-6.2349,106.9923,692
Damascus,33.5131,36.2919,780
Sanming,26.2634,117.6389,782
Yangjiang,21.857,111.983,605
Jiamusi,46.8,130.319,509
Luohe,33.583,114.0109,597
Medellin,6.2308,-75.5906,10
Dingxi,35.608,104.592,809
Shaoxing,30.0511,120.5833,602
Yantai,37.4646,121.4478,386
Huizhou,23.112,114.416,149
Lishui,28.468,119.923,792
Xuanzhou,30.939,118.759,253
Khowrhesht,36.205,49.6872,196
Mirzapur,25.146,82.569,934
Zigong,29.339,104.779,234
Hamburg,53.55,10.0,491
Guangyuan,32.436,105.844,275
Cali,3.4206,-76.5222,623
Huangshi,30.2011,115.039,462
Xining,36.6224,101.7804,101
Lusaka,-15.4167,28.2833,72
Ouagadougou,12.3686,-1.5275,645
Yaounde,3.8667,11.5167,777
Zhuhai,22.2716,113.5769,149
Huludao,40.711,120.837,771
Baoshan,25.112,99.161,999
Mecca,21.4225,39.8233,801
Vancouver,49.25,-123.1,14
